291.711818,311.154194
305.544686,301.843328
309.550152,297.150246
315.251756,295.328772
316.979525,295.000566
323.866170,293.629475
328.360386,286.401875
330.307102,278.576139
331.275357,276.260615
337.565002,273.040291
352.038719,268.665801
354.024067,252.769458
358.820801,249.079920
367.572477,242.953318
375.512602,117.820506
384.054949,116.495433
387.433078,102.555608
390.246601,93.070108
391.530698,92.902540
396.301358,85.136207
400.370482,74.624153
404.709739,70.782943
407.060931,54.212786
411.141146,50.637239
