[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
4000 True 1.0
0 4000
[RL] Updates 36, num timesteps 73728, FPS 514, time 143.29 seconds rewards: 585.7660779498897 1028.2951181928415 std: 89.36774544804618 288.76630230110135 tensor([0.8000, 0.2000])
[RL] Updates 37, num timesteps 75776, FPS 514, time 147.25 seconds rewards: 559.7120147634483 1083.7181870743893 std: 37.57509314628169 297.3886222748183 tensor([0.8000, 0.2000])
[RL] Updates 38, num timesteps 77824, FPS 515, time 151.11 seconds rewards: 601.4854895320254 1159.7928594689238 std: 55.17525307083604 251.95800774999157 tensor([0.8000, 0.2000])
[RL] Updates 39, num timesteps 79872, FPS 515, time 155.04 seconds rewards: 592.3527576108319 1221.4392018298634 std: 30.95523808287096 255.2307716145058 tensor([0.8000, 0.2000])
[RL] Updates 40, num timesteps 81920, FPS 515, time 158.93 seconds rewards: 622.7503068944063 1209.6460322410012 std: 45.390279340572356 238.55482502084968 tensor([0.8000, 0.2000])
[RL] Updates 41, num timesteps 83968, FPS 515, time 162.81 seconds rewards: 597.7215948289233 1273.3046506272099 std: 49.194069198383296 235.1401271142785 tensor([0.8000, 0.2000])
[RL] Updates 42, num timesteps 86016, FPS 515, time 166.74 seconds rewards: 606.932438356972 1325.3430639510048 std: 22.128568100913455 201.59686762016256 tensor([0.8000, 0.2000])
[RL] Updates 43, num timesteps 88064, FPS 516, time 170.58 seconds rewards: 639.7073950456527 1397.197363258007 std: 28.38635627037213 16.795729059093947 tensor([0.8000, 0.2000])
[RL] Updates 44, num timesteps 90112, FPS 516, time 174.48 seconds rewards: 650.2851361456248 1375.4762337751679 std: 22.06342726928302 148.01759153605454 tensor([0.8000, 0.2000])
[RL] Updates 45, num timesteps 92160, FPS 516, time 178.41 seconds rewards: 656.7935039734067 1350.6605026927195 std: 35.151361133402574 167.68994400949603 tensor([0.8000, 0.2000])
[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
4000 True 1.0
0 4000
[RL] Updates 1, num timesteps 2048, FPS 351, time 5.83 seconds rewards: 23.59815649730845 86.10367770578814 std: 17.238543611510227 27.51941878924335 tensor([0.6000, 0.4000])
[RL] Updates 2, num timesteps 4096, FPS 416, time 9.83 seconds rewards: 34.090203156220625 102.02185601132379 std: 33.28838662701392 56.5652338667566 tensor([0.6000, 0.4000])
