[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
300 True 1
0 300
[RL] Updates 35, num timesteps 71680, FPS 534, time 134.01 seconds rewards: 1070.8381787491114 1134.2814270206168 std: 493.0721679463454 564.9709575748357 tensor([0.4000, 0.6000])
[RL] Updates 36, num timesteps 73728, FPS 535, time 137.80 seconds rewards: 1318.1979431216528 1537.6169780944551 std: 291.4225648212294 347.3051327818348 tensor([0.4000, 0.6000])
[RL] Updates 37, num timesteps 75776, FPS 535, time 141.58 seconds rewards: 1155.6557887022261 1231.3840259562512 std: 303.34773118162474 403.33664105186097 tensor([0.4000, 0.6000])
[RL] Updates 38, num timesteps 77824, FPS 535, time 145.30 seconds rewards: 1398.1384972215237 1619.5877336384024 std: 85.50206706406145 118.47095361399917 tensor([0.4000, 0.6000])
[RL] Updates 39, num timesteps 79872, FPS 535, time 149.09 seconds rewards: 1327.1086163277657 1543.178048260681 std: 235.01584167877692 291.07722808116705 tensor([0.4000, 0.6000])
[RL] Updates 40, num timesteps 81920, FPS 535, time 152.86 seconds rewards: 1329.3490239124994 1531.9122485192233 std: 377.6227900594317 523.5249655037125 tensor([0.4000, 0.6000])
[RL] Updates 41, num timesteps 83968, FPS 536, time 156.57 seconds rewards: 940.3043367911532 1162.4499152465069 std: 538.4257836521667 719.9153946943065 tensor([0.4000, 0.6000])
[RL] Updates 42, num timesteps 86016, FPS 536, time 160.33 seconds rewards: 1364.4920315791842 1631.605805379852 std: 192.28146933579322 308.3082115843331 tensor([0.4000, 0.6000])
[RL] Updates 43, num timesteps 88064, FPS 536, time 164.04 seconds rewards: 1442.857409911071 1811.985346210761 std: 60.597061435131465 165.38896210998317 tensor([0.4000, 0.6000])
[RL] Updates 44, num timesteps 90112, FPS 537, time 167.80 seconds rewards: 1440.5527549006033 1887.2860960840876 std: 37.38466790947835 147.61320243108318 tensor([0.4000, 0.6000])
[RL] Updates 45, num timesteps 92160, FPS 537, time 171.60 seconds rewards: 1389.6539621739335 1830.1444806888442 std: 264.5004643717653 428.95975236727924 tensor([0.4000, 0.6000])
[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
300 True 1
0 300
[RL] Updates 1, num timesteps 2048, FPS 350, time 5.84 seconds rewards: 53.41458003593605 -127.7738470095458 std: 161.1002787967711 28.292559841862104 tensor([0.6000, 0.4000])
[RL] Updates 2, num timesteps 4096, FPS 426, time 9.60 seconds rewards: 134.6435443221507 -124.82613230403652 std: 165.33071167590887 26.074776669314215 tensor([0.6000, 0.4000])
[RL] Updates 3, num timesteps 6144, FPS 459, time 13.37 seconds rewards: 216.4153699439505 -72.24201978815861 std: 78.57661632662189 87.63065294683673 tensor([0.6000, 0.4000])
[RL] Updates 4, num timesteps 8192, FPS 475, time 17.22 seconds rewards: 235.81244838490784 -96.91575314989913 std: 71.50575516540295 69.09797945072131 tensor([0.6000, 0.4000])
[RL] Updates 5, num timesteps 10240, FPS 487, time 21.00 seconds rewards: 227.8031448519986 -84.31004803868626 std: 74.35625479020158 87.35558542727856 tensor([0.6000, 0.4000])
[RL] Updates 6, num timesteps 12288, FPS 495, time 24.82 seconds rewards: 252.35589126355003 -102.73790305182384 std: 60.566120680859264 62.266627961052066 tensor([0.6000, 0.4000])
[RL] Updates 7, num timesteps 14336, FPS 500, time 28.62 seconds rewards: 274.32692946076065 -135.64172713396607 std: 30.922874634310922 32.235415805410824 tensor([0.6000, 0.4000])
[RL] Updates 8, num timesteps 16384, FPS 505, time 32.39 seconds rewards: 300.3643255295595 -146.30350152944266 std: 33.825153573978504 33.87197207800174 tensor([0.6000, 0.4000])
[RL] Updates 9, num timesteps 18432, FPS 509, time 36.18 seconds rewards: 318.1470142299862 -156.36636043693736 std: 32.75426492100724 25.24837448998708 tensor([0.6000, 0.4000])
[RL] Updates 10, num timesteps 20480, FPS 512, time 39.97 seconds rewards: 350.3924850186137 -183.2140991696304 std: 43.33672426107821 40.81767295852277 tensor([0.6000, 0.4000])
[RL] Updates 11, num timesteps 22528, FPS 515, time 43.74 seconds rewards: 361.2001544422251 -165.69362660324015 std: 55.84313542998396 20.82073135640382 tensor([0.6000, 0.4000])
[RL] Updates 12, num timesteps 24576, FPS 516, time 47.57 seconds rewards: 380.11074767171897 -148.12296154694508 std: 42.85412708425349 23.48427022730187 tensor([0.6000, 0.4000])
[RL] Updates 13, num timesteps 26624, FPS 518, time 51.31 seconds rewards: 418.8635343710989 -149.01021196956128 std: 22.434477351291534 28.967634808140577 tensor([0.6000, 0.4000])
[RL] Updates 14, num timesteps 28672, FPS 520, time 55.09 seconds rewards: 425.8847500808968 -124.22635257250018 std: 78.21515329123613 25.179024686293562 tensor([0.6000, 0.4000])
[RL] Updates 15, num timesteps 30720, FPS 521, time 58.88 seconds rewards: 456.16230944644406 -151.66064703611022 std: 35.651108494572554 31.459510787722667 tensor([0.6000, 0.4000])
[RL] Updates 16, num timesteps 32768, FPS 523, time 62.61 seconds rewards: 478.62290287246515 -104.58497533365578 std: 47.50496768933366 35.70073826323029 tensor([0.6000, 0.4000])
[RL] Updates 17, num timesteps 34816, FPS 524, time 66.40 seconds rewards: 584.2817604572163 -75.19721443423921 std: 123.19600438756842 72.94227551074258 tensor([0.6000, 0.4000])
[RL] Updates 18, num timesteps 36864, FPS 525, time 70.17 seconds rewards: 540.6413444597023 -96.84946014648249 std: 129.5362840410928 54.1781607906876 tensor([0.6000, 0.4000])
[RL] Updates 19, num timesteps 38912, FPS 526, time 73.93 seconds rewards: 690.0207545864373 12.597700285193499 std: 155.9496382657148 101.79984614229977 tensor([0.6000, 0.4000])
[RL] Updates 20, num timesteps 40960, FPS 526, time 77.73 seconds rewards: 692.2000322744304 52.93294071546482 std: 174.1882843890936 76.89444149753771 tensor([0.6000, 0.4000])
[RL] Updates 21, num timesteps 43008, FPS 527, time 81.51 seconds rewards: 735.514454674593 43.515462836824526 std: 146.7657315954143 110.08965685228009 tensor([0.6000, 0.4000])
[RL] Updates 22, num timesteps 45056, FPS 528, time 85.23 seconds rewards: 898.8493863682017 128.4736945380658 std: 274.12203816172257 123.54735218608772 tensor([0.6000, 0.4000])
[RL] Updates 23, num timesteps 47104, FPS 529, time 89.02 seconds rewards: 862.157690337424 257.2096403789866 std: 446.5160859537073 103.41105483128908 tensor([0.6000, 0.4000])
[RL] Updates 24, num timesteps 49152, FPS 529, time 92.74 seconds rewards: 763.4748259260116 231.58478189167613 std: 473.7465508170538 97.26562868548069 tensor([0.6000, 0.4000])
[RL] Updates 25, num timesteps 51200, FPS 530, time 96.55 seconds rewards: 882.5366934973456 295.229158459557 std: 374.71323610651467 110.9139226171284 tensor([0.6000, 0.4000])
[RL] Updates 26, num timesteps 53248, FPS 530, time 100.34 seconds rewards: 618.3232105741357 308.70361827271466 std: 345.60517017407915 136.75108161893922 tensor([0.6000, 0.4000])
[RL] Updates 27, num timesteps 55296, FPS 531, time 104.05 seconds rewards: 895.9070713508374 346.8732326383069 std: 386.52151716534104 178.39797626816778 tensor([0.6000, 0.4000])
[RL] Updates 28, num timesteps 57344, FPS 531, time 107.82 seconds rewards: 963.8889932723905 409.1972179054029 std: 528.3188936345138 198.47586496760798 tensor([0.6000, 0.4000])
[RL] Updates 29, num timesteps 59392, FPS 532, time 111.62 seconds rewards: 883.1184275387847 455.13260546532877 std: 473.92703941163796 124.45051212509144 tensor([0.6000, 0.4000])
[RL] Updates 30, num timesteps 61440, FPS 532, time 115.33 seconds rewards: 1051.2167169305844 421.22674067407024 std: 343.07907454469233 249.71948023656938 tensor([0.6000, 0.4000])
[RL] Updates 31, num timesteps 63488, FPS 533, time 119.11 seconds rewards: 946.8909751399008 420.0635510530823 std: 509.2721748335549 247.66202786113854 tensor([0.6000, 0.4000])
[RL] Updates 32, num timesteps 65536, FPS 533, time 122.85 seconds rewards: 1287.3200107179105 605.6322705480787 std: 524.3314583055047 191.8747445691137 tensor([0.6000, 0.4000])
[RL] Updates 33, num timesteps 67584, FPS 533, time 126.61 seconds rewards: 1316.6205348733038 521.6742624288871 std: 427.8123984048169 233.32365593266593 tensor([0.6000, 0.4000])
[RL] Updates 34, num timesteps 69632, FPS 534, time 130.39 seconds rewards: 1434.4087696737263 706.3834540417748 std: 426.8631100620356 275.4916313846435 tensor([0.6000, 0.4000])
[RL] Updates 35, num timesteps 71680, FPS 534, time 134.12 seconds rewards: 1390.3166649831933 641.6777904440926 std: 509.78210820625196 207.82080192576973 tensor([0.6000, 0.4000])
[RL] Updates 36, num timesteps 73728, FPS 534, time 137.91 seconds rewards: 1405.2185305551973 589.6492749130092 std: 433.4405614255643 294.9706815282292 tensor([0.6000, 0.4000])
